Differences between version 2 (plotpoints2.txt) and version 3 (plotpoints3.txt) of the regional temperature anomalies 
employed by Ruosteenoja et al. (2003) (see 
http://www.ipcc-data.org/sres/scatter_plots/scatterplots_home.html and http://www.ipcc-data.org/sres/scatter_plots/csiro_error.html for more details).

The differences apply only to the CSIRO model, and are listed below (plotpoints3.txt - plotpoints2.txt):

                                               A2,    B2,  A1FI,    B1
REGION 18, TIME SLICE 2070-2099, DEC-FEB:: -0.05, -0.03, -0.06, -0.02
REGION 18, TIME SLICE 2070-2099, MAR-MAY:: -0.01,  0.00, -0.02, -0.02
REGION 18, TIME SLICE 2070-2099, JUN-AUG:: -0.03, -0.02, -0.04, -0.02
REGION 18, TIME SLICE 2070-2099, SEP-NOV:: -0.13, -0.09, -0.16, -0.08
REGION 19, TIME SLICE 2010-2039, DEC-FEB::  0.04,  0.03,  0.04,  0.03
REGION 19, TIME SLICE 2010-2039, MAR-MAY::  0.00, -0.03,  0.00,  0.02
REGION 19, TIME SLICE 2010-2039, JUN-AUG::  0.13,  0.07,  0.14,  0.03
REGION 19, TIME SLICE 2010-2039, SEP-NOV::  0.04,  0.03,  0.04,  0.03
REGION 19, TIME SLICE 2040-2069, DEC-FEB::  0.06,  0.06,  0.08,  0.05
REGION 19, TIME SLICE 2040-2069, MAR-MAY::  0.03,  0.01,  0.04,  0.02
REGION 19, TIME SLICE 2040-2069, JUN-AUG::  0.25,  0.08,  0.31,  0.10
REGION 19, TIME SLICE 2040-2069, SEP-NOV::  0.08,  0.06,  0.09,  0.06
REGION 19, TIME SLICE 2070-2099, DEC-FEB::  0.11,  0.07,  0.13,  0.08
REGION 19, TIME SLICE 2070-2099, MAR-MAY:: -0.00, -0.04, -0.00, -0.01
REGION 19, TIME SLICE 2070-2099, JUN-AUG::  0.39,  0.19,  0.48,  0.21
REGION 19, TIME SLICE 2070-2099, SEP-NOV::  0.09,  0.07,  0.11,  0.07
REGION 20, TIME SLICE 2010-2039, DEC-FEB:: -0.02, -0.06, -0.02, -0.04
REGION 20, TIME SLICE 2010-2039, MAR-MAY::  0.09, -0.07,  0.09, -0.04
REGION 20, TIME SLICE 2010-2039, JUN-AUG::  0.03, -0.07,  0.03, -0.07
REGION 20, TIME SLICE 2010-2039, SEP-NOV:: -0.02, -0.05, -0.02, -0.05
REGION 20, TIME SLICE 2040-2069, DEC-FEB:: -0.06, -0.08, -0.07, -0.08
REGION 20, TIME SLICE 2040-2069, MAR-MAY::  0.22,  0.16,  0.28,  0.09
REGION 20, TIME SLICE 2040-2069, JUN-AUG:: -0.05, -0.12, -0.06, -0.09
REGION 20, TIME SLICE 2040-2069, SEP-NOV:: -0.04, -0.07, -0.05, -0.07
REGION 20, TIME SLICE 2070-2099, DEC-FEB:: -0.12, -0.08, -0.15, -0.06
REGION 20, TIME SLICE 2070-2099, MAR-MAY::  0.18,  0.23,  0.23,  0.19
REGION 20, TIME SLICE 2070-2099, JUN-AUG:: -0.21, -0.16, -0.26, -0.14
REGION 20, TIME SLICE 2070-2099, SEP-NOV:: -0.14, -0.11, -0.17, -0.10
REGION 21, TIME SLICE 2010-2039, DEC-FEB:: -0.08, -0.08, -0.09, -0.05
REGION 21, TIME SLICE 2010-2039, MAR-MAY:: -0.13, -0.19, -0.14, -0.18
REGION 21, TIME SLICE 2010-2039, JUN-AUG:: -0.02, -0.09, -0.02, -0.10
REGION 21, TIME SLICE 2010-2039, SEP-NOV:: -0.06, -0.10, -0.06, -0.11
REGION 21, TIME SLICE 2040-2069, DEC-FEB:: -0.03, -0.17, -0.04, -0.11
REGION 21, TIME SLICE 2040-2069, MAR-MAY:: -0.10, -0.17, -0.13, -0.13
REGION 21, TIME SLICE 2040-2069, JUN-AUG:: -0.11, -0.15, -0.14, -0.11
REGION 21, TIME SLICE 2040-2069, SEP-NOV:: -0.12, -0.14, -0.16, -0.14
REGION 21, TIME SLICE 2070-2099, DEC-FEB:: -0.26, -0.16, -0.33, -0.16
REGION 21, TIME SLICE 2070-2099, MAR-MAY:: -0.33, -0.22, -0.41, -0.20
REGION 21, TIME SLICE 2070-2099, JUN-AUG:: -0.27, -0.14, -0.34, -0.20
REGION 21, TIME SLICE 2070-2099, SEP-NOV:: -0.20, -0.16, -0.25, -0.16
REGION 22, TIME SLICE 2010-2039, DEC-FEB::  0.01, -0.02,  0.01, -0.00
