n, T, pr, stat, Scenario, Region, Label, Mask, Season, Year,
300,0.5,-41,Min,rcp26,Australia/North Australia, NAU, land,BS,2035,
301,0.6,-11,25th percentile,rcp26,Australia/North Australia, NAU, land,BS,2035,
302,0.7,-7,median,rcp26,Australia/North Australia, NAU, land,BS,2035,
303,1.1,1,75th percentile,rcp26,Australia/North Australia, NAU, land,BS,2035,
304,1.6,4,Max,rcp26,Australia/North Australia, NAU, land,BS,2035,
305,0.6,-47,Min,rcp26,Australia/North Australia, NAU, land,BS,2065,
306,0.9,-15,25th percentile,rcp26,Australia/North Australia, NAU, land,BS,2065,
307,1.1,-6,median,rcp26,Australia/North Australia, NAU, land,BS,2065,
308,1.3,1,75th percentile,rcp26,Australia/North Australia, NAU, land,BS,2065,
309,1.8,15,Max,rcp26,Australia/North Australia, NAU, land,BS,2065,
310,0.5,-38,Min,rcp26,Australia/North Australia, NAU, land,BS,2100,
311,0.8,-14,25th percentile,rcp26,Australia/North Australia, NAU, land,BS,2100,
312,1.0,-6,median,rcp26,Australia/North Australia, NAU, land,BS,2100,
313,1.2,1,75th percentile,rcp26,Australia/North Australia, NAU, land,BS,2100,
314,1.8,8,Max,rcp26,Australia/North Australia, NAU, land,BS,2100,
315,0.4,-11,Min,rcp26,Caribbean (land and sea), CAR, all,Annual,2035,
316,0.5,-3,25th percentile,rcp26,Caribbean (land and sea), CAR, all,Annual,2035,
317,0.6,-1,median,rcp26,Caribbean (land and sea), CAR, all,Annual,2035,
318,0.7,2,75th percentile,rcp26,Caribbean (land and sea), CAR, all,Annual,2035,
319,1.1,8,Max,rcp26,Caribbean (land and sea), CAR, all,Annual,2035,
320,0.4,-9,Min,rcp26,Caribbean (land and sea), CAR, all,Annual,2065,
321,0.7,-5,25th percentile,rcp26,Caribbean (land and sea), CAR, all,Annual,2065,
322,0.8,0,median,rcp26,Caribbean (land and sea), CAR, all,Annual,2065,
323,1.0,2,75th percentile,rcp26,Caribbean (land and sea), CAR, all,Annual,2065,
324,1.6,15,Max,rcp26,Caribbean (land and sea), CAR, all,Annual,2065,
325,-0.1,-25,Min,rcp26,Caribbean (land and sea), CAR, all,Annual,2100,
326,0.6,-4,25th percentile,rcp26,Caribbean (land and sea), CAR, all,Annual,2100,
327,0.8,1,median,rcp26,Caribbean (land and sea), CAR, all,Annual,2100,
328,1.1,3,75th percentile,rcp26,Caribbean (land and sea), CAR, all,Annual,2100,
329,1.7,8,Max,rcp26,Caribbean (land and sea), CAR, all,Annual,2100,
330,0.3,-12,Min,rcp26,Caribbean (land and sea), CAR, all,BW,2035,
331,0.5,-3,25th percentile,rcp26,Caribbean (land and sea), CAR, all,BW,2035,
332,0.6,3,median,rcp26,Caribbean (land and sea), CAR, all,BW,2035,
333,0.7,5,75th percentile,rcp26,Caribbean (land and sea), CAR, all,BW,2035,
334,1.0,10,Max,rcp26,Caribbean (land and sea), CAR, all,BW,2035,
335,0.4,-6,Min,rcp26,Caribbean (land and sea), CAR, all,BW,2065,
336,0.7,-1,25th percentile,rcp26,Caribbean (land and sea), CAR, all,BW,2065,
337,0.8,2,median,rcp26,Caribbean (land and sea), CAR, all,BW,2065,
338,1.1,7,75th percentile,rcp26,Caribbean (land and sea), CAR, all,BW,2065,
339,1.6,13,Max,rcp26,Caribbean (land and sea), CAR, all,BW,2065,
340,0.0,-16,Min,rcp26,Caribbean (land and sea), CAR, all,BW,2100,
341,0.6,-3,25th percentile,rcp26,Caribbean (land and sea), CAR, all,BW,2100,
342,0.8,1,median,rcp26,Caribbean (land and sea), CAR, all,BW,2100,
343,1.1,6,75th percentile,rcp26,Caribbean (land and sea), CAR, all,BW,2100,
344,1.6,15,Max,rcp26,Caribbean (land and sea), CAR, all,BW,2100,
345,0.3,-12,Min,rcp26,Caribbean (land and sea), CAR, all,BS,2035,
346,0.5,-7,25th percentile,rcp26,Caribbean (land and sea), CAR, all,BS,2035,
347,0.5,-4,median,rcp26,Caribbean (land and sea), CAR, all,BS,2035,
348,0.7,0,75th percentile,rcp26,Caribbean (land and sea), CAR, all,BS,2035,
349,1.2,11,Max,rcp26,Caribbean (land and sea), CAR, all,BS,2035,
350,0.4,-15,Min,rcp26,Caribbean (land and sea), CAR, all,BS,2065,
351,0.7,-6,25th percentile,rcp26,Caribbean (land and sea), CAR, all,BS,2065,
352,0.8,-3,median,rcp26,Caribbean (land and sea), CAR, all,BS,2065,
